epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,256.004,2.07564,1.86464,1.03421,0.67054,0.42308,0.46841,0.16614,2.62924,2.055,0.94217,0.0003746,0.0003746,0.0003746
78,258.712,2.1246,1.81704,1.01828,0.60921,0.38462,0.42821,0.16726,2.59862,2.01243,0.93791,0.00037295,0.00037295,0.00037295
79,261.646,2.11055,1.85552,1.01272,0.71335,0.42308,0.47236,0.17115,2.60811,2.01922,0.9376,0.0003713,0.0003713,0.0003713
80,264.488,2.18557,1.85771,1.01609,0.70599,0.42308,0.46827,0.17376,2.61918,2.04921,0.93581,0.00036965,0.00036965,0.00036965
81,268.261,2.1851,1.97945,1.02491,0.69798,0.42308,0.46711,0.17625,2.5905,2.09722,0.93826,0.000368,0.000368,0.000368
82,271.491,2.11601,1.92626,1.0036,0.69951,0.42308,0.4759,0.17075,2.58994,2.12848,0.93734,0.00036635,0.00036635,0.00036635
83,274.031,2.13727,1.86859,1.00523,0.70977,0.42308,0.47759,0.16615,2.60353,2.20405,0.93688,0.0003647,0.0003647,0.0003647
84,276.541,2.08395,1.72415,1.04056,0.64816,0.35472,0.44686,0.1548,2.59883,2.22879,0.93455,0.00036305,0.00036305,0.00036305
85,279.007,2.12625,1.88736,1.0422,0.64342,0.34706,0.45382,0.17101,2.59732,2.20263,0.94018,0.0003614,0.0003614,0.0003614
86,281.511,2.0755,1.84156,1.01729,0.66517,0.3822,0.45051,0.16156,2.60634,2.1423,0.94122,0.00035975,0.00035975,0.00035975
87,284.044,2.03965,1.72818,0.98077,0.65746,0.38462,0.45462,0.16081,2.61779,2.09253,0.94104,0.0003581,0.0003581,0.0003581
88,286.857,2.26326,1.95306,1.01933,0.60889,0.38462,0.4544,0.15725,2.56709,2.03288,0.94011,0.00035645,0.00035645,0.00035645
89,289.373,2.11494,1.83787,1.00162,0.65156,0.42308,0.49932,0.16435,2.54783,1.95743,0.93567,0.0003548,0.0003548,0.0003548
90,291.905,2.06336,1.65277,0.99975,0.69347,0.42308,0.50413,0.16501,2.56866,1.89403,0.93539,0.00035315,0.00035315,0.00035315
91,294.398,2.09696,1.89443,1.02296,0.70388,0.42308,0.49935,0.16251,2.56218,1.87117,0.9347,0.0003515,0.0003515,0.0003515
92,296.961,2.22723,1.87452,1.03122,0.69578,0.42308,0.51114,0.16743,2.55274,1.86336,0.93612,0.00034985,0.00034985,0.00034985
93,299.439,2.09207,1.74413,1.04098,0.46103,0.61538,0.51483,0.17174,2.53932,1.89464,0.93598,0.0003482,0.0003482,0.0003482
94,302.225,2.13036,1.85845,1.00314,0.5115,0.60435,0.51954,0.18162,2.5671,1.99196,0.93747,0.00034655,0.00034655,0.00034655
95,305.422,2.09455,1.9117,0.98169,0.5127,0.6072,0.51668,0.17487,2.59915,2.07515,0.94405,0.0003449,0.0003449,0.0003449
96,308.71,2.18909,1.94564,1.06122,0.53147,0.61538,0.51167,0.17318,2.60246,2.2195,0.95086,0.00034325,0.00034325,0.00034325
97,311.598,2.14868,1.90988,1.01041,0.52447,0.61538,0.52184,0.17212,2.61832,2.27693,0.95244,0.0003416,0.0003416,0.0003416
98,314.45,2.02119,1.78514,0.98856,0.51582,0.57692,0.49156,0.16825,2.64554,2.36451,0.95373,0.00033995,0.00033995,0.00033995
99,317.056,2.06405,1.86594,1.00593,0.508,0.55632,0.48844,0.16584,2.64877,2.30776,0.95329,0.0003383,0.0003383,0.0003383
100,319.581,2.04157,1.69877,0.98629,0.54434,0.57692,0.54427,0.18256,2.63396,2.11536,0.95398,0.00033665,0.00033665,0.00033665
101,322.482,2.04743,1.70671,0.98285,0.53908,0.57692,0.53554,0.17585,2.58988,2.02724,0.94899,0.000335,0.000335,0.000335
102,325.111,2.03114,1.6849,1.00019,0.50961,0.57692,0.52101,0.17994,2.5832,1.97408,0.93956,0.00033335,0.00033335,0.00033335
103,327.68,2.16091,1.84389,1.0231,0.50148,0.53846,0.50614,0.17611,2.56225,1.95668,0.93787,0.0003317,0.0003317,0.0003317
104,330.325,2.05515,1.82701,0.98188,0.4878,0.53846,0.49733,0.16617,2.53687,1.97528,0.93193,0.00033005,0.00033005,0.00033005
105,332.873,2.05328,1.78282,0.98844,0.50625,0.53846,0.49629,0.172,2.53969,1.99023,0.93163,0.0003284,0.0003284,0.0003284
106,335.492,2.10056,1.80599,0.98296,0.5244,0.53846,0.48623,0.17394,2.54722,2.04278,0.93841,0.00032675,0.00032675,0.00032675
107,338.141,1.93349,1.79224,0.97472,0.53342,0.53846,0.50438,0.18112,2.54432,2.06251,0.9374,0.0003251,0.0003251,0.0003251
108,341.249,2.16291,1.75925,0.99624,0.50772,0.51604,0.50669,0.18326,2.57242,2.05487,0.94749,0.00032345,0.00032345,0.00032345
109,344.157,2.10159,1.92363,0.99764,0.50716,0.5,0.51221,0.18808,2.56252,2.06954,0.94721,0.0003218,0.0003218,0.0003218
110,347.076,2.17437,1.86767,0.99481,0.52278,0.46154,0.50573,0.18856,2.57595,2.06577,0.94956,0.00032015,0.00032015,0.00032015
111,350.029,2.17068,1.76922,1.02036,0.49425,0.53846,0.5031,0.18144,2.58335,2.05756,0.95023,0.0003185,0.0003185,0.0003185
112,353.042,2.16297,1.71536,1.02032,0.4914,0.53846,0.49859,0.17502,2.59843,2.04801,0.95004,0.00031685,0.00031685,0.00031685
113,355.912,2.13976,1.90498,1.01584,0.53434,0.57386,0.5039,0.17805,2.61105,2.04599,0.95465,0.0003152,0.0003152,0.0003152
114,358.836,2.10411,1.74724,1.00755,0.50326,0.53846,0.48869,0.16463,2.63722,2.06359,0.95779,0.00031355,0.00031355,0.00031355
