frame,timestamp,detections,tracked_objects,ball_1_x,ball_1_y,ball_1_confidence,ball_1_track_id
81,1.35,1,1,1123.0,658.0,0.5058468580245972,1.0
82,1.3666666666666667,1,1,1120.0,654.0,0.5063050985336304,1.0
83,1.3833333333333333,1,1,1121.0,652.0,0.3951137661933899,1.0
84,1.4,1,1,1121.0,652.0,0.40534380078315735,1.0
85,1.4166666666666667,2,1,1122.0,653.0,0.47595927119255066,1.0
86,1.4333333333333333,0,1,1122.0,653.0,0.47595927119255066,1.0
87,1.45,0,1,1122.0,653.0,0.47595927119255066,1.0
88,1.4666666666666666,0,1,1122.0,653.0,0.47595927119255066,1.0
89,1.4833333333333334,1,1,1121.0,654.0,0.12841087579727173,1.0
90,1.5,2,1,1122.0,655.0,0.2347576916217804,1.0
91,1.5166666666666666,2,1,1121.0,655.0,0.2448977828025818,1.0
92,1.5333333333333334,2,1,1121.0,655.0,0.1490776389837265,1.0
93,1.55,2,1,1123.0,654.0,0.3675133287906647,1.0
94,1.5666666666666667,2,1,1123.0,654.0,0.36350077390670776,1.0
95,1.5833333333333333,4,1,1124.0,654.0,0.4556248188018799,1.0
96,1.6,2,1,1124.0,654.0,0.5004653930664062,1.0
97,1.6166666666666667,2,1,1124.0,655.0,0.5446727275848389,1.0
98,1.6333333333333333,3,1,1125.0,655.0,0.5224027633666992,1.0
99,1.65,1,1,1125.0,655.0,0.5621760487556458,1.0
100,1.6666666666666667,2,1,1125.0,654.0,0.545583188533783,1.0
101,1.6833333333333333,1,1,1125.0,654.0,0.5070397853851318,1.0
